Description,Total_Sales_Dollars,ProfitMargin
A to Z Rsl,1002.41,33.313713949381984
Aalto Ribera Del Duero Red,49.99,32.42648529705941
Aberfeldy 21 Yr Single Malt,2879.82,43.22839621920815
Aberfeldy Single Cask,9459.62,11.204678412029235
Absolut Cilantro,4164.72,42.73516586949423
Absolut Elyx,674.85,17.94324664740313
Absolut Grapevine Vodka,5672.1,82.4375451772712
Absolut Hibiskus,153.93,27.557980900409284
Absolut Orient Apple Vodka,119.94,87.65215941303985
Absolut Peppar Vodka,239.88,19.739036184759044
Absolut Wild Tea,901.88,83.9280170310906
Acacia Winery Pnt Nr Carnero,447.84,3.499017506252237
Achaval Ferrer Cab Svgn,229.89999999999998,15.010874293170929
Acorn Alegria Vyds Cab Franc,2944.94,52.1660882734453
Acorn Cve Alegria Russ Syrah,2780.0099999999998,66.74472393984195
Acorn Dolcetto Alegria RRV,3023.0099999999998,57.29752796054264
Acorn Medley Alegria RRV,1934.25,85.08517513248029
Acorn Sangiovese Alegria RRV,8434.98,32.769965074013214
Adaption by Odette Chard,3294.97,81.47327593270954
Adelsheim Auxerrois Ribbon S,901.5899999999999,78.57340919930344
Adelsheim Bryan Creek Pnt Nr,2449.65,77.14285714285714
Adelsheim Caitlins Rsv Chard,1639.5900000000001,61.98561835580847
Adelsheim Chard Willmete Vly,1813.2399999999998,45.520725331450876
Adelsheim Elizbth RSV Pnt Nr,2561.45,64.866384274532
Adissat Cotes du Rhone,1244.17,89.62440824003151
Adissat Gabrielle Ch du Pape,639.84,74.8312078019505
Adissat Lirac,6176.91,80.20126568138438
Admiral Nelson Egg Nog,450.31,79.38753303279962
Agavero Orange Liqueur Agave,1209.45,40.305924180412596
Agavero Tequila Liqueur,805.6899999999999,13.16138961635368
Agua de Piedra Malbec Selecn,707.16,37.99423044289835
Aguardiente Cristal Liqueur,1415.91,16.97777401106003
Alabaster 07 Tinta de Toro,674.95,86.39454774427735
Alain Lorieux Chinon Express,485.72999999999996,59.68130442838614
Alate Kosher Wine,7967.74,40.531443044075225
Albero Sparkling Wh Organic,5.79,28.497409326424876
Albert I Noya Xarello Clsc,911.3399999999999,35.5191256830601
Alberta Rye Dark Batch,5871.33,88.95275857429237
Alberto Furque Malbec Mendoz,1379.08,48.591814833077116
Albola Chianti,3025.4900000000002,31.05877064541612
Aldial Naia Rueda White,9153.2,37.74821920202772
Alexana Pnt Nr Willamette,919.5999999999999,15.832970856894294
Alexana Revana Vyd Pnt Nr,8047.110000000001,48.09440904871438
Alexander Vly Vyds Gewurz,5164.83,29.957036340015065
Alexander Vly Vyds Merlot,6072.1900000000005,14.419344585726082
Alexander Vly Vyds Sin Znfdl,479.76,35.46773386693346
Alexanders Crown Cab Svgn,5389.259999999999,68.83134233642465
Alias Cab Svgn,912.17,38.1167984038063
Alias Chard,582.47,24.967809500918502
Alibi Whiskey,531.72,63.50710900473935
Alice White Lexia Muscato,512.85,40.80140391927464
Alisios Pinot Grigio,119.88,33.33333333333333
Alize Coco Liqueur,95.94,21.263289555972477
Alize Red Passion,139.93,31.437147145001077
Allegrini La Grola Veronese,629.79,21.19277854522936
Allegrini Solosole Vermentin,1849.03,40.34710091237027
Allegrini Sondraia,3134.37,80.46880234305458
Allen's Amaretto Liqueur,101.83,45.67416282038692
Allen's Blue Curacao Liqueur,5.99,20.03338898163606
Allen's Ginger Brandy,464.7,11.1426726920594
Allen's Pomegranate Liqueur,107.82000000000001,13.52253756260434
Alma Negra Gran Almanegra,249.95000000000002,86.20524104820964
Almaden Chard Cal,4935.51,41.111252940425615
Almaden Moscato,1151.36,21.375590605892157
Almaden Moscato Rhine,260.71,19.911012235817573
Almaden Pnt Grigio B/B,5560.71,32.02306899658497
Alpataco Malbec,575.64,32.45778611632271
Alpataco Pnt Nr,735.54,47.48348152377845
Alphonse Dolly Pouilly-Fume,1914.1599999999999,14.20257449742968
Alta Classe Mntplcno Abruzzo,327.59000000000003,60.73140205744987
Alta Vista Malbec Mendoza,137.88,42.81984334203655
Altadonna Nero D'Avola,1594.8600000000001,86.8678128487767
Altadonna Vermentino,530.41,96.49327878433664
Alter Ego de Palmer Mrgx 11,2240.73,73.37296327536116
Alto Ego De Palmer Margaux,2665.69,97.91873773769643
Altocedro Finca Tanos Malbec,1783.9499999999998,23.950222820146294
Altocedro Malbec Reserva,239.92,31.043681227075687
Alverez de Toledo Godello,2115.9900000000002,40.15567181319382
Alverez de Toledo Mencia Rbl,5350.84,36.647703911909154
Amadeo Chianti,191.76,31.53942428035044
Amapola Creek 09 Cab Svgn,2507.56,82.33900684330584
Amaretto di Amore VAP,9650.35,5.744040371592737
Amaro Sfumato Rabarbaro,43.98,21.282401091405184
Ame Neyers Cab Svgn Napa,1999.75,31.130391298912365
Americano Petite Syrah,1560.12,30.774555803399732
Amrut Fusion Single Malt,5384.19,90.64297508074566
Anakota 11 Helena Montana CS,1919.76,18.351773138308953
Anakota Cab Svgn Helena Dako,1359.83,37.809137906944244
Anarkos Puglia,299.76,66.21297037630104
Anastasi Estates Messinia Rd,323.73,85.28403299045502
Anderra Cab Svgn,4374.21,45.415515030142586
Anderra Carmenere,107.88,32.92547274749722
Anderra Svgn Bl,5655.8,39.36224760422928
Andre Moscato,558.04,23.44634793204788
Andre Pink Moscato,240.58,20.093108321556237
Andre Spumante Calif,2295.15,34.048754983334426
Andrew Will Two Blondes WA,803.88,33.333333333333336
AnestasiA Vodka,7990.389999999999,68.47212714273019
Angela Yamhill-Carlton Pnt N,1072.71,19.389210504236935
Angeline Chard Cal,217.76,18.497428361498898
Angeline Svgn Bl RRV,255.15,34.15637860082305
Angelini Sangiovese Pesaresi,1888.81,38.052530429212034
Angels Envy Hanover Chop,275.94,23.070232659273753
Angels Landing Cab Svgn,4817.59,22.404355704823374
Angoves Nine Vines Moscato,395.67,2.289786943665176
Anna de Codorniu Brut Rose,191.88,34.64665415884928
Annabella Cab Svgn Napa,1039.35,24.60095251840092
Antech Limoux Brut,1618.65,0.9174311926605447
Anterra Chardonnay,4634.2,91.84325234128869
Anthology Conn Crk Cab Napa,4164.9400000000005,23.311020086723943
Antica Cab Svgn Napa Valley,2791.4,21.007379809414633
Antica Chard Napa Valley,1193.62,31.12380824718084
Antica Fratta Franciacorta B,6680.38,44.51872498271057
Antico Colle Chianti Colli,263.76,33.75796178343949
Antigal Uno Cab Mendza,782.52,72.64478863160048
Antinori Badia Chianti Clsc,455.88,28.73782574361674
Antinori Bolgheri Guado,5948.39,56.80242889252386
Antinori Brnllo Mntlcno Pain,1413.74,50.89196033216857
Antinori Cervaro della Salla,271.92,37.65813474551339
Antinori Orvieto Clsc Campo,8881.82,42.35956144123614
Antinori Tignanello,9115.97,48.28273897347183
Antiquary 12 Yr Old Scotch,134.94,24.23299244108493
Anton Bauer Gmork Rose,167.88,34.66761972837741
Apaltagua Envero Gran Rsv,750.5,8.892738174550301
Apaltagua Rose Carmenere,7671.02,30.4559237233119
Apimed Old Slavic Mead Dark,953.0999999999999,34.93862134088762
Apimed Old Slavic Mead Light,635.4,39.093484419263454
Apimed Slovak Mead,464.58,38.163502518403725
Apimed Trnava Mead,335.7,40.12511170688114
Apple Orchard Liqueur,2017.98,90.2090209020902
Aquilon 06 Garnacha de Borja,629.93,90.60213039544075
Aquinas Cab Svgn,3592.35,90.42409564769581
Aquinas Napa Chard,643.54,85.31559809802033
Aquitania Cab Svgn,2526.42,7.556938276296106
Arabella Chard,131.88,33.75796178343949
Arca Nova Rose,263.76,31.028207461328485
Archetype Shiraz/Cab Barossa,142.89000000000001,26.76884316607181
Ardbeg Auriverdes Scotch,3959.58,82.65220048591011
Ardbeg Dark Cove Com Release,7259.34,21.982990189190748
Aresti Pnt Nr Curico Vly,94.81,96.54044931969202
Argentiera Poggio Ginerpi Bo,227.88,32.43812532912059
Argiano Non Confunditur Rsso,263.88,35.470668485675304
Argiola Costera Isola dei N,149.85,45.945945945945944
Argiolas SerraLori Rose 13,503.4,33.77830750893921
Arindo Verdejo Rueda,708.37,63.71387834041532
Armand Kabinett Rsl,577.6999999999999,46.40817033062142
Armand de Brignac Brut Rose,9239.78,51.836082677293184
Armorik Single Malt Whiskey,1199.8,96.24020670111686
Arnaldo Caprai Grecante Grec,1614.1499999999999,4.618529876405522
Arrogant Frog Chardonnay,239.76,67.51751751751752
Arrogant Frog Pnt Nr,2607.39,35.385960673316994
Arrow Apricot Brandy,575.28,24.280350438047563
Arrow Blackraspberry Liqueur,383.52,20.650813516896118
Arrow Blue Curacao,4554.3,23.705509079331627
Arrow Creme de Strawberry,3835.2,34.85372340425531
Arrowood Cab Svgn Sonoma Vly,8667.01,30.575942568429028
Arrowood Sonoma Est Cab Svgn,1766.96,26.603884638022375
Art of Eart Montepulciano d',2160.89,61.296502829852514
Artesa Elements Napa Red,744.3299999999999,2.8992516760039133
Asamai Shuzo Heavens Door,119.96,1.3171057019006323
Aska Bolgheri Rosso,434.84999999999997,28.876624123260896
Assyrtiko-Athiri Atlantis,191.88,33.771106941838646
Astraly Touraine Nobel Rose,89.94,31.02068045363576
Aszu Royal Tokaji 5 Puttony,9098.050000000001,19.63519655310754
Atalon Cab Svgn Napa,1589.47,55.90228189270638
Atalon Pauline's Cuvee Red N,2358.8199999999997,90.5804597213861
Atalon Svgn Bl Napa Valley,2118.94,63.47230218883026
Atamisque Assemblage,5344.38,27.63426253372702
Atholl Brose Scotch Liqueur,329.94,27.532278596108384
Atlas Peak Cab Svgn,559.84,60.80308659617034
Attitude 13 Rose Jolivet,2350.32,88.79641921100105
Au Bon Climate Pnt Nr,2155.02,22.770090300786077
Auchentoshan Classic Scotch,359.88,94.4009114149161
Austin Cocktails Vodkarita,2353.43,91.54128229860245
Avante Tinto Fino Ribera Del,892.53,32.43812532912059
Aveleda Follies,3429.36,90.13810156997224
Aviary Chard,215.88,42.301278488048915
Aviary Red Blend,5894.719999999999,16.0625101786005
Avion Espresso,202.93,39.97930320800276
Avion Tasting Flight 3/375mL,9852.960000000001,46.84927169094364
Ayala Brut Majeur,8117.150000000001,24.956542628878363
Ayala Rose Majeur,2607.56,60.66437589163816
B & B Dom VAP,1319.48,97.25497923424379
B & G CDP Rose,2572.73,14.260726932091586
B & G Cotes du Rhone Red,155.88,49.03772132409546
B & G Pnt Nr Bistro,6114.81,34.73877356778053
B & G Sancerre Svgn Bl,243.91,15.329424787831572
B & G Sauternes,6997.139999999999,34.170818362931136
B Side Cab Svgn,887.63,1.5806135439315903
B Side Napa Vly Red,1259.46,46.73907865275595
BR Cohn Olive Hill Cab Svgn,99.98,33.32666533306662
BV Beaurouge Red,6880.41,84.39366258696793
BV Coastal Estate Moscato,164.85,57.77979981801637
BV Coastal Estate Red,450.59,1.5690539070995793
BV Coastal Estate Svgn Bl,560.35,52.779512804497195
BV GDL Private Rsv Cab Svgn,4799.6,28.604050337528136
Bacardi 1873 Solera Rum,2353.43,89.38145600251546
Bacardi 8 Gift Set,869.65,91.7898004944518
Bacardi Anejo Mexican Rum,2476.23,59.05711504989439
Bacardi Artic Grape Rum,195.85999999999999,51.046665985908305
Bacardi Coconut,5752.89,97.84282334617905
Bacardi Dragon Berry,3203.64,94.76345656815374
Bacardi Dragon Berry Trav,709.29,87.92031468087805
Bacardi Limon Traveler,409.59000000000003,96.4403427818062
Bacardi O Orange Rum,2294.35,23.806194171219655
Bacardi Oakheart Spiced Trav,399.6,98.13313313313314
Bacardi Party Drinks Hurricn,159.9,33.35834896810507
Bacardi Party Drinks Rum Run,303.81,4.315196998123832
Bacardi Peach Red Rum,287.76,39.6163469557965
Bacardi Reserva Limitada,2879.68,95.30086676297365
Badenhorst Secateurs Chen Bl,6785.28,32.84256508205999
Badenhorst Secateurs Red,4045.17,16.494980433455204
Bak's Krupnik Honey Liqueur,704.53,36.672675400621685
Bakon Vodka,2049.18,43.77751100440176
Balcones Baby Blue Corn Whis,275.94,22.483148510545767
Balcones TX Whisky Single Ba,389.94,23.08047391906447
Balletto 15 Rose Pnt Nr RRV,9956.14,15.818278971569297
Balvenie 15 Yr Single Malt,899.9000000000001,57.141904656072896
Banfi Centine Bianco Toscana,4649.83,39.384235552697625
Banfi Grappa Castello,1984.48,35.06812867854552
Banfi Pnt Grigio Rime,7485.78,35.1410273879275
Banfi Poggio All'Oro Br Mont,3755.75,55.343140517872605
Banfi Poggio Alle Mura Montl,9308.6,28.801538362374586
Banfi Poggio Alle Mura Rsva,1876.82,72.32339808825566
Banfi Summus Tuscany Red,2902.52,83.68176618938027
Banknote Counterfeit,579.71,38.46578461644615
Banshee 12 Marine Layer Pnt,1221.74,39.67292549969716
Banshee Cab Svgn Napa Vly,6997.9400000000005,60.37548192753869
Banshee Chard,670.64,82.15137778838125
Banshee Mordecai Proprietary,4977.509999999999,30.782660406508462
Banshee Rose 14 Pnt Nr Sonom,203.88,34.66745144202473
Barbarossa Spiced Rum,945.14,98.22460164631696
Barbera d'Alba Alessandria,5085.53,45.47706925335216
Barboursville Rsv Cab Franc,143.94,33.76406836181742
Barco de Piedra Temp Red,407.76,35.49146556798116
Barcraft Watermelon Fresca V,6294.75,84.72504865165415
Barefoot Bubbly Berry Fusion,109.89,33.33333333333333
Barefoot Bubbly Tropical Fus,459.54,16.161813987900953
Barefoot Cellars Cab Svgn,2329.91,27.80407826911769
Barefoot Cellars Malbec,6333.43,23.20430142439484
Barefoot Cellars Moscato,1979.45,29.782010154335797
Barefoot Cellars Rich Red,298.74,12.365267456651267
Barefoot Cellars Rosa Red,406.58,76.09326577795268
Barefoot Cellars Sweet Red,1495.77,24.71364271376871
Barefoot Cellars Winter Red,6105.9,32.654154178745145
Barefoot Crisp White Spritz,271.66,4.586615622469276
Barefoot Perfectly Pink,1145.57,30.18148170779611
Barefoot Refresh Crisp Red,546.0799999999999,45.88704951655435
Barefoot Summer Red Spritzer,367.54,16.254013168634707
Barefoot Syrah Cal,7928.18,36.15411490900414
Barefoot Znfdl Cal,613.1800000000001,22.838550684445973
Barenjager Honey & Bourbon,9154.68,63.66142781615524
Barkan Clsc Cab Svgn,9121.48,34.26593052881769
Barkan Clsc Chard,1189.15,33.031156708573356
Barkan Clsc Merlot,6015.7,31.17209967252357
Baron K Kabinett,911.52,52.77777777777778
Baron La Rose Bordeaux Blanc,1988.1100000000001,80.15703356454121
Baron de Seillac Brut Rose,311.76,31.023864511162436
Barra Petite Sirah,160.92999999999998,33.31883427577206
Barrique Chard,1036.3899999999999,10.033867559509453
Barsol Primero Quebranta Pso,1457.32,27.11552713199571
Bartenura Asti Spumante,2631.1499999999996,37.894076734507706
Bartenura Ovidia Est Chianti,2056.53,52.000700208603824
Barton Gin,6347.22,25.68872671815378
Basilica Amaretto,47.45,85.07903055848261
Basilica Sambuca,7490.900000000001,65.75885407627922
Batavia Arrack Rum,31.99,28.071272272585173
Be. Bright Pnt Grigio,1042.26,74.43056435054592
Beat 3 Single Malt Whiskey,36.99,23.384698567180322
Beat 3 White Kosher Whiskey,2426.17,15.958898181083766
Beaucanon Merlot Napa,80.97,54.64987032234161
Beaulieu Cstl Clr Slct Chard,174.75,4.618025751072957
Beaux Freres Pnt Nr Will Vly,6898.85,79.2678489893243
Beaux Freres Vyds Pnt Nr,5669.37,93.7347535969605
Becker Family Pnt Bl,395.78,64.70766587498105
Belguardo Serrata Toscana,2957.04,90.86924762600438
Bella Bolla Moscato,187.25,8.411214953271028
Bella Bolla Pink Moscato,456.89000000000004,50.31407997548645
Bella Bolla Red Moscato,89.88,33.778371161548726
Bella Bolle Fusione Red,98.89,27.79856406107796
Bella Italia Pnt Grigio Ter,455.52,41.93888303477344
Bella Sera Pnt Nr Venezie,155.76,30.97072419106317
Bellafina Prosecco,1686.47,47.07169413034326
Belle Ambiance Chard,352.66,18.561787557420754
Ben Marco Cab Svgn,4284.53,38.41284808368713
Ben Marco Malbec,8271.76,38.93838796096599
Bench Pnt Nr,1363.3799999999999,25.062711789816472
Benchmark Egg Nog,6931.9800000000005,29.590679719214425
Beniotome Sesame Shochu,4768.41,99.5342262934605
Benton Lane Pnt Gris Willamt,3853.59,21.412863745483243
Benvolio Pnt Grigio Friuli,4306.05,89.34708143193878
Benvolio Toscana Rosso,649.5,35.11316397228638
Benziger Pnt Nr Sonoma,2158.92,34.21710855427714
Beran Znfdl Sonoma Cty,2519.16,21.95255561377602
Berentzen Apple Liqueur,9077.41,81.50639885165482
Berentzen Bushel & Barrel,1333.58,84.82036799317765
Beringer Classic Wh Zin Spkl,6043.04,30.586095739892507
Beringer Fndrs Est Svgn Bl,7779.65,48.73818230897276
Beringer KVR Cab Svgn,7898.42,29.772283570638177
Beringer Luminus Chard,9945.25,27.14190191297353
Berkshire Mtn Ethereal Gin,1832.4099999999999,86.36113096959741
Bertani Amarone 04,5984.37,92.64133066638594
Bertani Amarone 1993,2039.88,83.33284310841815
Bertani Amarone Valpolicell,8799.12,56.54906399730882
Bertani Secco 11 Orig V Ed,1524.3899999999999,87.64620602339296
Bertani Villa Arvedi Amarone,5998.14,46.805309049755266
Bex Rsl Mosel,5667.11,47.516106092876264
Beyond Svgn Bl,195.45,40.90560245587106
Big Claw White,194.85,35.026943802925324
Big House Birdman Pnt Grigio,8567.64,27.489600403378283
Big House White,6171.210000000001,49.06166966020302
Big Peat Scotch,8139.63,47.77109033211583
Bigi Orvieto Clsc Vendemmia,419.65000000000003,32.31502442511617
Billette Bousquet Prov Rose,1067.11,22.767099924094044
Binyamina Cab Svgn,2280.32,4.266944990176825
Binyamina Chard,1673.67,15.754599174269721
Biokult Gruner Veltliner,279.8,18.341672623302365
Bird Dog Chocolate Whiskey,8970.27,48.1571903632778
Bird Dog Hot Cinnamon Whisky,152.91,24.249558563861097
Bird Dog Maple Whiskey,1865.4599999999998,31.443182914669844
Bisol Crede Prosseco Super V,263.88,34.60663938153706
Bitch Vodka,945.5699999999999,39.3508677305752
Black & White Scotch,3481.7099999999996,17.758802427542776
Black Box Moscato B/B,134.91,70.76569564895115
Black Button Citrus Gin,9032.83,73.71366448831651
Black Pearl Oro,8298.96,21.0937274068076
Black Stallion Chard Napa Vy,2670.33,9.579714866701867
Blackbird Vyds Arise Red,3550.33,34.51538307706607
Blackstone Delectable Red,4646.64,39.890759774805026
Blackstone Montry Pnt Grigio,5561.66,37.25146808686615
Blackstone Syrah Cal,1527.24,26.761347266965245
Blackstone Winemakers Malbec,419.3,83.25542570951586
Blackstone Znfdl Cal,3721.71,33.20247950538865
Bleu de Mer Rose,9404.76,29.702193357406248
Bliss Cab Svgn,363.74,5.778853026887347
Bliss Chard,5570.56,35.54687500000001
Bliss Merlot,167.88,32.88062902072909
Blood Orange Liqueur,3158.82,87.35762088374773
Bloom Gin,3782.2799999999997,85.577746755925
Blossom Hill Chard,7154.49,30.39252273746976
Blossom Hill Merlot,791.28,21.656050955414
Blossom Hill Wh Znfdl,263.76,19.358507734303913
Blue Chair Bay Coc Spced Rum,645.66,36.25127776228974
Blue Chair Bay CocSpc Cream,2803.35,84.72684466798653
Blue Current Junmai Ginjo,5298.21,7.578597299842789
Bluebird Chardonnay,215.76,32.48053392658509
Bluebird Pinot Noir,9959.210000000001,34.47311583950937
Bluegray Priorat DOQ,2356.69,30.118938002028273
Bocelli Prosecco,4728.509999999999,39.37392540144781
Bocelli Sangiovese,431.76,32.40689271817677
Bodega Elena de Mendoza Mlbc,1013.55,96.71254501504613
Bodega Garzon Albarino,179.88,35.090060040026685
Bodega Noemia D Patagonia 13,2873.85,13.06609600361884
Bodegas Borsao 14 Rose,8417.12,39.74661166764879
Bodegas Faustino V RSV Rioj,6701.009999999999,35.57239878764544
Bodegas Jeromin Zesto Rosada,287.76,31.02585487906589
Bodegas Numanthia Termes,815.66,20.127258906897477
Bodini Malbec Mendoza,457.62,28.04073248546829
Boen Pnt Nr RRV,1949.35,1.1193474747992889
Bolla Bardolino,6721.79,36.40265465002626
Bolla Merlot,4383.84,38.99526442570897
Bolla Prosecco 3pk/187mls,1573.95,94.74443279646748
Bolla Soave,2132.5,32.24853458382181
Bolla Torr'Alta Veronese Ros,2050.92,41.138610964835294
Bolla Valpo Ripasso Cls Sup,683.46,42.8759547010798
Bollinger Brut Grande Annee,7787.410000000001,81.5517611118459
Bollinger R.D. 2002,3359.88,61.36945367096443
Bols Amaretto Liqueur,5155.95,43.13306545376524
Bols Anisette,1588.41,15.67668297228047
Bols Apricot Flavored Brand,670.39,23.111919927206543
Bols Blackberry Brandy,560.49,23.79168227800675
Bols Brown Creme de Cacao,1998.0,25.04504504504505
Bols Butterscotch,319.68,23.611111111111114
Bols Cherry Flavored Brandy,2593.64,35.24313320275751
Bols Creme De Noyaux,1108.8899999999999,15.34958381805227
Bols Creme de Banana,2467.53,30.904588799325644
Bols Creme de Cassis,1828.17,32.161669866587914
Bols Genever Amsterdam,164.95000000000002,20.00606244316461
Bols Green Creme De Menthe,4795.2,27.658908908908913
Bols Lychee,139.86,28.028028028028036
Bols Maraschino Liqueur,218.31,19.01424579726077
Bols Melon Liqueur,869.13,45.40057298677988
Bols Peach Flavored Brandy,2329.88,18.13183511597164
Bols Peach Schnapps,6088.97,49.98554757017575
Bols Peppermint Schnapps,1318.68,37.1917371917372
Bols Pomegranate Liqueur,465.01,50.465581385346546
Bols Pumpkin Spice,6183.81,67.1865726793029
Bols Sloe Gin,1338.66,32.35175473981445
Bols Strawberry Liqueur,1568.43,36.29808152101146
Bols White Creme De Cacao,3786.21,14.744295746934268
Bols White Creme De Menthe,219.78,13.049413049413053
Bols Yogurt Liqueur,1857.57,66.33881899470813
Bon Affair Svgn Bl Spritzer,9076.91,44.58391276502207
Bonal Apertif,56.97,35.49236440231701
Bongiovanni Dolceo D'Alba,815.52,83.10771041789287
Bonnie Rose Orange Peel,8035.65,59.002694243776176
Bonnie Rose Spiced Apple,7419.07,60.913969001505585
Bonny Doon Clos de Gilroy Rd,860.43,52.302918308287715
Bonpas Blanc Rhone Vly,2547.96,34.08138275326144
Bonpas Ch du Pape Rouge Rsv,5976.59,58.869857226277865
Bonterra Pnt Nr,1075.31,46.50100901135487
Boones Sangria,391.69,30.57775281472594
Boones Strawberry Hill,1988.3500000000001,32.58028013176755
Booth's Cask Mellowed Gin,3783.14,76.3910402469906
Borealis Northern Whites,1706.78,26.93610189948324
Bota Box Rsl,2094.8799999999997,28.603070342931336
Bota Brick Cab Svgn,427.59000000000003,34.18929348207394
Bota Brick Chard,269.74,20.99058352487581
Bota Brick Pnt Grigio,387.63,17.529602971906197
Bota Mini Cab Svgn,6802.950000000001,36.27411637598396
Bota Mini Merlot,258.65999999999997,12.317327766179536
Bota Mini Moscato,593.96,17.312613644016427
Bota Mini RedVolution,614.63,25.14520931291996
Botani 13 Muscat Srra Malaga,4074.58,62.47171487613448
Botromagno Gravina,89.88,30.97463284379172
Bouchard Aine & Fils Pnt Nr,7971.76,3.679112266300039
Boundary Breaks Dry Rsl #239,721.62,12.862725534214691
Boundary Breaks OLN Rsl,6440.83,15.116530012436288
Boundary Breaks Rsl Rsv #198,359.82,8.68767717191929
Bouvet Brut,2064.21,32.93124246079614
Bouvier Marsannay Rose,545.79,62.64497334139504
Bouvier Morey St Denis Rue d,1812.63,98.1981981981982
Bouza Tannat Las Violetas,5664.99,32.300851369552284
Bouza Temp Tannat,699.72,15.417595609672437
Bowman's Gin,144.67000000000002,19.706919195410254
Bowman's Light Vodka,618.88,75.84022750775596
Bowman's Rum,172.27,15.632437452835667
Bowmore Legend Single Malt,242.91,51.64464204849533
Bowmore Mizurana,7999.92,72.0149701497015
Boya Pnt Nr,7867.08,44.44444444444444
Boya Svgn Bl,6995.0,65.54110078627592
Brancott Estate 'B' Svgn Bl,31.47,35.08102955195424
Brancott Pnt Nr Marlboro,7065.1900000000005,39.095763878961506
Brandborg Benchlands Pnt Nr,24.99,32.41296518607442
Bregeon Muscadet Sevre et M,1613.1499999999999,62.09155999132132
Brenne French Sng Mlt Whisky,3275.2200000000003,89.15187376725838
Bridlewood Blend 175 C C,4453.27,28.9764599945658
Bridlewood Pnt Nr,9520.47,33.87280249819599
Bridlewood Slct Pnt Nr Lucia,5436.6,77.94945370268182
Briggs Lockhart Cab Svgn,1091.1599999999999,31.485758275596602
Briggs Lockhart Chard,324.75,36.44341801385681
Brinley Gold Shipwrck Coffee,149.94,27.010804321728692
Brinley Gold Shipwreck,119.94,23.661830915457728
Brinley Gold Shipwrk Coconut,449.82,23.649459783913564
Brittan Vyds Chard Wlmete Vy,3912.09,82.9208939467139
Broadbent Auction RSV,5742.33,55.922073444054945
Broadbent Madeira Rainwater,8072.889999999999,28.031720982200913
Broadside Cab Svgn Paso Rob,326.94,56.98293264819233
Brooks Runaway Red,263.88,34.19736243747158
Brotherhood Holiday Spiced,1425.3899999999999,23.64405531117798
Brotte La Griveliere CDR,9872.880000000001,39.99400377600052
Brousko Dry Red,131.88,33.75796178343949
Brownstone Cab Svgn Cal,1357.49,24.260215544865904
Brownstone Merlot Cal,467.48,21.451185077436474
Brownstone Pnt Nr,359.59999999999997,1.3904338153503737
Brugal XV Rum,9971.01,84.65320965478924
Bruichladdich Octomore 61,7589.3099999999995,92.19599673751631
Bruichladdich Rocks Sngl Mlt,899.82,76.02187104087484
Bruichladdich Wee Laddie Box,1199.8,26.471078513085505
Bruno Giacosa Roero Arneisxc,149.88,35.468374699759806
Buehler Estate Cab Svgn Napa,4271.69,92.70663367426006
Buehler Wh Znfdl Napa,2037.96,26.59325992659326
